Year,Month,Author(s),Title,Journal,DOI,Declaration,Documentation,Notes
2021,4,"Li, Xin-Ran; Huang, Di-Ying",A brachypterous cockroach (Dictyoptera: Blattaria: Blattoidea) and its potential relevance to the palaeoenvironment of mid-Cretaceous Myanmar amber locality,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104730,No,No,
2021,4,"Pohl, Hans; Wipfler, Benjamin; Boudinot, Brendon; Beutel, Rolf Georg",On the value of Burmese amber for understanding insect evolution: Insights from dagger Heterobathmilla- an exceptional stem group genus of Strepsiptera (Insecta),CLADISTICS,10.1111/cla.12433,No,No,Specimen was purchased with help from the museum
2021,4,"Yin, Zi-Wei; Lu, Liang; Yamamoto, Shuhei; Thayer, Margaret K.; Newton, Alfred F.; Cai, Chen-Yang","Dasycerine rove beetles: Cretaceous diversification, phylogeny and historical biogeography (Coleoptera: Staphylinidae: Dasycerinae)",CLADISTICS,10.1111/cla.12430,No,No,
2021,4,"Kundrata, Robin; Packova, Gabriela; Prosvirov, Alexander S.; Hoffmannova, Johana","The Fossil Record of Elateridae (Coleoptera: Elateroidea): Described Species, Current Problems and Future Prospects",INSECTS,10.3390/insects12040286,No,No,Review article
2021,4,"Archibald, S. Bruce; Makarkin, Vladimir N.",Early Eocene snakeflies (Raphidioptera) of western North America from the Okanagan Highlands and Green River Formation,ZOOTAXA,10.11646/zootaxa.4951.1.2,Unavailable,Unavailable,
2021,5,"Poinar, George; Brown, Alex E.",A green algae (Chaetophorales: Chaetophoraceae) in Burmese amber,HISTORICAL BIOLOGY,10.1080/08912963.2019.1616719,No,No,The specimens were first excavated in 2001 
2021,5,"Poinar, George; Vega, Fernando E.",Mid-Cretaceous cellular slime mold (Eukarya: Dictyostelia?) in Burmese amber,HISTORICAL BIOLOGY,10.1080/08912963.2019.1658095,No,No,
2021,5,"Zheng, Yan; Chen, Jun; Zhang, Haichun; Rasnitsyn, Alexandr P.","New angarosphecid wasp (Hymenoptera: Apoidea, Angarosphecidae) from the mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104742,No,No,
2021,5,"Perkovsky, Evgeny E.; Olmi, Massimo; Mueller, Patrick; Guglielmino, Adalgisa; Jarzembowski, Edmund A.; Capradossi, Leonardo; Rasnitsyn, Alexandr P.","A review of the fossil Embolemidae (Hymenoptera: Chrysidoidea), with description of seven new species and history of the family",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104708,No,No,
2021,5,"Magalhaes, Ivan L. F.; Porta, Andres O.; Wunderlich, Joerg; Proud, Daniel N.; Ramirez, Martin J.; Perez-Gonzalez, Abel","Taxonomic revision of fossil Psilodercidae and Ochyroceratidae spiders (Araneae: Synspermiata), with a new species of Priscaleclercera from mid-Cretaceous Burmese amber, northern Myanmar",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104751,No,No,
2021,5,"Kim, Junggon; Lim, Hyoun-Sub; Jung, Sunghoon",A fi rst member of bamboo-feeding lineage plant bug (Hemiptera: Heteroptera: Miridae: Mecistoscelini) in mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104741,No,No,
2021,5,"Lu, Xiumei; Liu, Xingyue",The Neuropterida from the mid-Cretaceous of Myanmar: A spectacular palaeodiversity bridging the Mesozoic and present faunas,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104727,No,No,
2021,5,"Men, Qiulei; Hu, Zhengkun",Leptotarsus (Longurio) burmica sp. nov.-The first species of Tipulidae (Diptera) from the mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104723,No,No,
2021,5,"Godunko, Roman J.; Martynov, Alexander, V; Staniczek, Arnold H.","First fossil record of the mayfly family Vietnamellidae (Insecta, Ephemeroptera) from Burmese Amber confirms its Oriental origin and gives new insights into its evolution",ZOOKEYS,10.3897/zookeys.1036.66435,Unavailable,Unavailable,
2021,5,"Nel, Patricia; Schubnel, Thomas; Perrichot, Vincent; Nel, Andre","ANKOTHRIPS, THE MOST ANCIENT EXTANT THRIPS GENUS (THYSANOPTERA, MELANTHRIPIDAE)",PAPERS IN PALAEONTOLOGY,10.1002/spp2.1320,NOT FOCUSED ON MYANMAR,,
2021,6,"Chen, Jun; Jiang, Hui; Shang, Tingting; Zhang, Lixia; Zheng, Yan; Zhang, Qianqi; Zhang, Haichun","The second leafhopper of the subfamily Ledrinae (Hemiptera, Cicadellidae) in mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104763,No,No,
2021,6,"Xin, Yafei; Jiang, Tongyao; Yao, Zhiyuan; Li, Shuqiang",Three new species of the extinct spider genus Furcembolus (Araneae: Pacullidae) from Late Cretaceous Burmese amber,ZOOTAXA,10.11646/zootaxa.4984.1.19,No,No,
2021,6,"Rosa, Brunno B.; Melo, Gabriel A. R.",Apoid wasps (Hymenoptera: Apoidea) from mid-Cretaceous amber of northern Myanmar*,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104770,No,No,
2021,6,"Moritz, Leif; Wesener, Thomas","Electrocambalidae fam. nov., a new family of Cambalidea from Cretaceous Burmese amber (Diplopoda, Spirostreptida)",EUROPEAN JOURNAL OF TAXONOMY,10.5852/ejt.2021.755.1397,NOT FOCUSED ON MYANMAR,,Review article
2021,6,"Zin-Maung-Maung-Thein; Zaw, Khin",Parachute research is another ethical problem for Myanmar amber,NATURE ECOLOGY & EVOLUTION,10.1038/s41559-021-01472-6,NOT FOCUSED ON FOSSILS,,Editorial
2021,6,"Barrett, Paul M.; Johanson, Zerina; Long, Sarah L.","Law, ethics, gems and fossils in Myanmar amber",NATURE ECOLOGY & EVOLUTION,10.1038/s41559-021-01478-0,NOT FOCUSED ON FOSSILS,,Editorial
2021,6,"Yu Tingting; Neubauer, Thomas A.",The oldest fossil Hydrocenidae found in mid-Cretaceous Burmese amber (Gastropoda: Cycloneritida),CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104765,No,No,
2021,6,"Chen, Hua-yan; van Achterberg, Cornelis; Pang, Hong; Liu, Jing-xian","Three new genera of Braconidae (Hymenoptera) from mid-Cretaceous amber of northern Myanmar (vol 118, 104669, 2021)",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104774,NA,NA,Correction
2021,6,[Anonymous],Fossilized ethics,NATURE ECOLOGY & EVOLUTION,10.1038/s41559-021-01493-1,NOT FOCUSED ON FOSSILS,,Editorial
2021,6,"Cumming, Royce T. .; Le Tirant, Stephane","Drawing the Excalibur bug from the stone: adding credibility to the double-edged sword hypothesis of coreid evolution (Hemiptera, Coreidae)",ZOOKEYS,10.3897/zookeys.1043.67730,No,No,
2021,7,"Jouault, Corentin; Perrichot, Vincent; Nel, Andre",New flat wasps from mid-Cretaceous Burmese amber deposits highlight the bethylid antiquity and paleobiogeography (Hymenoptera: Chrysidoidea),CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104772,No,No,
2021,7,"Tihelka, Erik; Yamamoto, Shuhei; Huang, Diying; Cai, Chenyang",Enigmatic tenebrionoid beetles from mid-Cretaceous Burmese amber (Coleoptera: Tenebrionoidea),CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104779,No,No,
2021,7,"Badano, Davide; Fratini, Michela; Maugeri, Laura; Palermo, Francesca; Pieroni, Nicola; Cedola, Alessia; Haug, Joachim T.; Weiterschan, Thomas; Velten, Juergen; Mei, Maurizio; Di Giulio, Andrea; Cerretti, Pierfilippo",X-ray microtomography and phylogenomics provide insights into the morphology and evolution of an enigmatic Mesozoic insect larva,SYSTEMATIC ENTOMOLOGY,10.1111/syen.12482,No,No,
2021,8,"Liu, Guiping; Wang, Xiaoli; Zhuo, De; Chen, Jun","A new non-jumping plant-louse (Hemiptera, Sternorrhyncha, Malmopsyllidae) in mid-Cretaceous Kachin amber, northern Myanmar",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104816,No,No,
2021,8,"Li, Ya; Li, Li-Qin; Feldberg, Kathrin; Wu, Peng-Cheng; Schneider, Harald; Schmidt, Alexander R.; Wang, Yong-Dong","Re-appraisal of two fossil Frullaniaceae species (Marchantiophyta, Porellales) from the mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104803,No,No,
